code,label_en,datatype,mandatory
BP-2_19,Disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding ISO/IEC or CEN/CENELEC standard,narrative,true
BP-2_20,List of DRs or DPs incorporated by reference,narrative,false
BP-2_21,"Topics (E4, S1, S2, S3, S4) have been assessed to be material",narrative,false
BP-2_22,List of sustainability matters assessed to be material (phase-in),narrative,false
BP-2_23,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),narrative,false
BP-2_24,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,narrative,false
BP-2_25,Description of policies related to sustainability matters assessed to be material (phase-in),narrative,false
BP-2_26,"Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions",narrative,false
BP-2_27,Disclosure of metrics related to sustainability matters assessed to be material (phase-in),narrative,false
E1-1_01,Disclosure of transition plan  for climate change mitigation,narrative,true
E1-1_02,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,narrative,true
E1-1_03,Disclosure of decarbonisation levers and key action,narrative,true
E1-1_04,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,narrative,true
E1-1_05,Financial resources allocated to action plan (OpEx),monetary,true
E1-1_06,Financial resources allocated to action plan (CapEx),monetary,true
E1-1_07,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,narrative,true
E1-1_08,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139",narrative,false
E1-1_09,Significant CapEx for coal-related economic activities,monetary,false
E1-1_10,Significant CapEx for oil-related economic activities,monetary,false
E1-1_11,Significant CapEx for gas-related economic activities,monetary,false
E1-1_12,Undertaking is excluded from EU Paris-aligned Benchmarks,narrative,true
E1-1_13,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,narrative,true
E1-1_14,"Transition plan is approved by administrative, management and supervisory bodies",narrative,true
E1-1_15,Explanation of progress in implementing transition plan,narrative,true
E1-1_16,Date of adoption of transition plan for undertakings not having adopted transition plan yet,narrative,false
E1-2_01,Sustainability matters addressed by policy for climate change,narrative,true
E1-3_01,Decarbonisation lever type,narrative,true
E1-3_02,Adaptation solution type,narrative,true
E1-3_03,Achieved GHG emission reductions,narrative,true
E1-3_04,Expected GHG emission reductions,narrative,true
E1-3_05,Explanation of extent to which ability to implement action depends on availability and allocation of resources,narrative,true
E1-3_06,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to relevant line items or notes in financial statements,narrative,true
E1-3_07,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178,narrative,true
E1-3_08,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178,narrative,false
E1-4_01,"Disclosure of whether and how GHG emissions reduction targets and (or) any other targets have been set to manage material climate-related impacts, risks and opportunities",narrative,true
E1-4_02,"Tables: Multiple Dimensions (baseline year and targets; GHG Types, Scope 3 Categories, Decarbonisation levers, entity-specific denominators for intensity value)",table,false
E1-4_03,Absolute value of total Greenhouse gas emissions reduction,table,false
E1-4_04,Percentage of total Greenhouse gas emissions reduction (as of emissions of base year),percent,false
E1-4_05,Intensity value of total Greenhouse gas emissions reduction,table,false
E1-4_06,Absolute value of Scope 1 Greenhouse gas emissions reduction,table,false
E1-4_07,Percentage of Scope 1 Greenhouse gas emissions reduction (as of emissions of base year),percent,false
E1-4_08,Intensity value of Scope 1 Greenhouse gas emissions reduction,table,false
E1-4_09,Absolute value of location-based Scope 2 Greenhouse gas emissions reduction,table,false
E1-4_10,Percentage of location-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),percent,false
E1-4_11,Intensity value of location-based Scope 2 Greenhouse gas emissions reduction,table,false
E1-4_12,Absolute value of market-based Scope 2 Greenhouse gas emissions reduction,table,false
E1-4_13,Percentage of market-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),percent,false
E1-4_14,Intensity value of market-based Scope 2 Greenhouse gas emissions reduction,table,false
E1-4_15,Absolute value of Scope 3 Greenhouse gas emissions reduction,table,false
E1-4_16,Percentage of Scope 3 Greenhouse gas emissions reduction (as of emissions of base year),percent,false
E1-4_17,Intensity value of Scope 3 Greenhouse gas emissions reduction,table,false
E1-4_18,Explanation of how consistency of GHG emission reduction targets with GHG inventory boundaries has been ensured,narrative,true
E1-4_19,Disclosure of past progress made in meeting target before current base year,narrative,true
E1-4_20,Description of how it has been ensured that baseline value is representative in terms of activities covered and influences from external factors,narrative,true
E1-4_21,"Description of how new baseline value affects new target, its achievement and presentation of progress over time",narrative,true
E1-4_22,GHG emission reduction target is science based and compatible with limiting global warming to one and half degrees Celsius,narrative,true
E1-4_23,Description of expected decarbonisation levers and their overall quantitative contributions to achieve GHG emission reduction target,narrative,true
E1-4_24,"Diverse range of climate scenarios have been considered to detect relevant environmental, societal, technology, market and policy-related developments and determine decarbonisation levers",narrative,true
E1-5_01,Total energy consumption related to own operations,narrative,true
E1-5_02,Total energy consumption from fossil sources,narrative,true
E1-5_03,Total energy consumption from nuclear sources,narrative,true
E1-5_04,Percentage of energy consumption from nuclear sources in total energy consumption,percent,true
E1-5_05,Total energy consumption from renewable sources,narrative,true
E1-5_06,Fuel consumption from renewable sources,narrative,true
E1-5_07,"Consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources",narrative,true
E1-5_08,Consumption of self-generated non-fuel renewable energy,narrative,true
E1-5_09,Percentage of renewable sources in total energy consumption,percent,true
E1-5_10,Fuel consumption from coal and coal products,narrative,false
E1-5_11,Fuel consumption from crude oil and petroleum products,narrative,false
E1-5_12,Fuel consumption from natural gas,narrative,false
E1-5_13,Fuel consumption from other fossil sources,narrative,false
E1-5_14,"Consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources",narrative,false
E1-5_15,Percentage of fossil sources in total energy consumption,percent,false
E1-5_16,Non-renewable energy production,narrative,false
E1-5_17,Renewable energy production,narrative,false
E1-5_18,Energy intensity from activities in high climate impact sectors (total energy consumption per net revenue),percent,false
E1-5_19,Total energy consumption from activities in high climate impact sectors,narrative,false
E1-5_20,High climate impact sectors used to determine energy intensity,narrative,false
E1-5_21,Disclosure of reconciliation to relevant line item or notes in financial statements of net revenue from activities in high climate impact sectors,narrative,false
E1-5_22,Net revenue from activities in high climate impact sectors,monetary,false
E1-5_23,Net revenue from activities other than in high climate impact sectors,monetary,false
E1-6_01,"Gross Scopes 1, 2, 3 and Total GHG emissions - GHG emissions per scope [table]",table,true
E1-6_02,"Gross Scopes 1, 2, 3 and Total GHG emissions - financial and operational control [table]",table,true
E1-6_03,"Disaggregation of GHG emissions - by country, operating segments, economic activity, subsidiary, GHG category or source type",table,true
E1-6_04,"Gross Scopes 1, 2, 3 and Total GHG emissions - Scope 3 GHG emissions (GHG Protocol) [table]",table,false
E1-6_05,"Gross Scopes 1, 2, 3 and Total GHG emissions - Scope 3 GHG emissions (ISO 14064-1) [table]",table,false
E1-6_06,"Gross Scopes 1, 2, 3 and Total GHG emissions - total GHG emissions - value chain [table]",table,true
E1-6_07,Gross Scope 1 greenhouse gas emissions,table,true
E1-6_08,Percentage of Scope 1 GHG emissions from regulated emission trading schemes,percent,true
E1-6_09,Gross location-based Scope 2 greenhouse gas emissions,table,true
E1-6_10,Gross market-based Scope 2 greenhouse gas emissions,table,true
E1-6_11,Gross Scope 3 greenhouse gas emissions,table,true
E1-6_12,Total GHG emissions location based,table,true
E1-6_13,Total GHG emissions market based,table,true
E1-6_14,Disclosure of significant changes in definition of what constitutes reporting undertaking and its value chain and explanation of their effect on year-to-year comparability of reported GHG emissions,narrative,false
E1-6_15,"Disclosure of methodologies, significant assumptions and emissions factors used to calculate or measure GHG emissions",narrative,true
E1-6_16,Disclosure of the effects of significant events and changes in circumstances (relevant to its GHG emissions) that occur between the reporting dates of the entities in its value chain and the date of the undertaking’s general purpose financial statements,narrative,false
E1-6_17,biogenic emissions of CO2 from the combustion or bio-degradation of biomassnot included in Scope 1 GHG emissions,narrative,true
E1-6_18,"Percentage of contractual instruments, Scope 2 GHG emissions",percent,true
E1-6_19,"Disclosure of types of contractual instruments, Scope 2 GHG emissions",percent,true
E1-6_20,Percentage of market-based Scope 2 GHG emissions linked to purchased electricity bundled with instruments,percent,true
E1-6_21,Percentage of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation in relation to Scope 2 GHG emissions,percent,true
E1-6_22,Percentage of contractual instruments used for sale and purchase of unbundled energy attribute claims in relation to Scope 2 GHG emissions,percent,true
E1-6_23,Disclosure of types of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation or for unbundled energy attribute claims,narrative,true
E1-6_24,Biogenic emissions of CO2 from combustion or bio-degradation of biomass not included in Scope 2 GHG emissions,narrative,true
E1-6_25,Percentage of GHG Scope 3 calculated using primary data,percent,true
E1-6_26,Disclosure of why Scope 3 GHG emissions category has been excluded,narrative,true
E1-6_27,List of Scope 3 GHG emissions categories included in inventory,narrative,true
E1-6_28,Biogenic emissions of CO2 from combustion or bio-degradation of biomass that occur in value chain not included in Scope 3 GHG emissions,narrative,true
E1-6_29,Disclosure of reporting boundaries considered and calculation methods for estimating Scope 3 GHG emissions,narrative,true
E1-6_30,"GHG emissions intensity, location-based (total GHG emissions per net revenue)",narrative,true
E1-6_31,"GHG emissions intensity, market-based (total GHG emissions per net revenue)",narrative,true
E1-6_32,Disclosure of reconciliation to financial statements of net revenue used for calculation of GHG emissions intensity,narrative,true
E1-6_33,Net revenue,monetary,false
E1-6_34,Net revenue used to calculate GHG intensity,monetary,false
E1-6_35,Net revenue other than used to calculate GHG intensity,monetary,false
E1-7_01,Disclosure of GHG removals and storage resulting from projects developed in own operations or contributed to in upstream and downstream value chain,narrative,true
E1-7_02,Disclosure of GHG emission reductions or removals from climate change mitigation projects outside value chain financed or to be financed through any purchase of carbon credits,narrative,true
E1-7_03,Removals and carbon credits are used,narrative,false
E1-7_04,GHG Removals and storage Activity by undertaking scope (breakdown by own operations and value chain) and by removal and storage activity,table,false
E1-7_05,Total GHG removals and storage,table,false
E1-7_06,GHG emissions associated with removal activity,table,false
E1-7_07,Reversals,narrative,false
E1-7_08,"Disclosure of calculation assumptions, methodologies and frameworks applied (GHG removals and storage)",narrative,false
E1-7_09,Removal activity has been converted into carbon credits and sold on to other parties on voluntary market,narrative,false
E1-7_10,Total amount of carbon credits outside value chain that are verified against recognised quality standards and cancelled,narrative,false
E1-7_11,Total amount of carbon credits outside value chain planned to be cancelled in future,narrative,false
E1-7_12,Disclosure of extent of use and quality criteria used for carbon credits,narrative,true
E1-7_13,Percentage of reduction projects,percent,true
E1-7_14,Percentage of removal projects,percent,true
E1-7_15,Type of carbon credits from removal projects,narrative,true
E1-7_16,Percentage for recognised quality standard,percent,true
E1-7_17,Percentage issued from projects in European Union,percent,true
E1-7_18,Percentage that qualifies as corresponding adjustment,percent,true
E1-7_19,Date when carbon credits outside value chain are planned to be cancelled,narrative,true
E1-7_20,"Explanation of scope, methodologies and frameworks applied and how residual GHG emissions are intended to be neutralised",narrative,false
E1-7_21,Public claims of GHG neutrality that involve use of carbon credits have been made,narrative,true
E1-7_22,Public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets,narrative,false
E1-7_23,Claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target,narrative,false
E1-7_24,Explanation of whether and how public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets and how claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target,narrative,false
E1-7_25,Explanation of credibility and integrity of carbon credits used,narrative,false
E1-8_01,Carbon pricing scheme by type,table,true
E1-8_02,Type of internal carbon pricing scheme,narrative,true
E1-8_03,Description of specific scope of application of carbon pricing scheme,narrative,true
E1-8_04,Carbon price applied for each metric tonne of greenhouse gas emission,monetary,true
E1-8_05,Description of critical assumptions made to determine carbon price applied,narrative,true
E1-8_06,Percentage of gross Scope 1 greenhouse gas emissions covered by internal carbon pricing scheme,percent,true
E1-8_07,Percentage of gross Scope 2 greenhouse gas emissions covered by internal carbon pricing scheme,percent,true
E1-8_08,Percentage of gross Scope 3 greenhouse gas emissions covered by internal carbon pricing scheme,percent,false
E1-8_09,Disclosure of whether and how carbon price used in internal carbon pricing scheme is consistent with carbon price used in financial statements,narrative,false
E1-9_01,Assets at material physical risk before considering climate change adaptation actions,monetary,true
E1-9_02,Assets at acute material physical risk before considering climate change adaptation actions,monetary,true
E1-9_03,Assets at chronic material physical risk before considering climate change adaptation actions,monetary,true
E1-9_04,Percentage of assets at material physical risk before considering climate change adaptation actions,percent,true
E1-9_05,Disclosure of location of significant assets at material physical risk,narrative,true
E1-9_06,Disclosure of location of its significant assets at material physical risk (disaggregated by NUTS codes),narrative,true
E1-9_07,Percentage of assets at material physical risk addressed by climate change adaptation actions,percent,true
E1-9_08,Net revenue from business activities at material physical risk,monetary,true
E1-9_09,Percentage of net revenue from business activities at material physical risk,percent,true
E1-9_10,Disclosure of whether and how anticipated financial effects for assets and business activities at material physical risk have been assessed,narrative,true
E1-9_11,Disclosure of whether and how assessment of assets and business activities considered to be at material physical risk relies on or is part of process to determine material physical risk and to determine climate scenarios,narrative,true
E1-9_12,Disclosure of risk factors for net revenue from business activities at material physical risk,narrative,true
E1-9_13,Disclosure of magnitude of anticipated financial effects in terms of margin erosion for business activities at material physical risk,narrative,false
E1-9_14,Assets at material transition risk before considering climate mitigation actions,monetary,true
E1-9_15,Percentage of assets at material transition risk before considering climate mitigation actions,percent,true
E1-9_16,Percentage of assets at material transition risk addressed by climate change mitigation actions,percent,true
E1-9_17,Total carrying amount of real estate assets by energy efficiency classes,monetary,true
E1-9_18,Disclosure of whether and how potential effects on future financial performance and position for assets and business activities at material transition risk have been assessed,narrative,true
E1-9_19,Disclosure of whether and how assessment of assets and business activities considered to be at material transition risk relies on or is part of process to determine material transition risks and to determine scenarios,narrative,true
E1-9_20,Estimated amount of potentially stranded assets,monetary,true
E1-9_21,Percentage of estimated share of potentially stranded assets of total assets at material transition risk,percent,true
E1-9_22,Total carrying amount of real estate assets for which energy consumption is based on internal estimates,monetary,true
E1-9_23,Liabilities from material transition risks that may have to be recognised in financial statements,monetary,true
E1-9_24,Number of Scope 1 GHG emission allowances within regulated emission trading schemes,narrative,true
E1-9_25,Number of emission allowances stored (from previous allowances) at beginning of reporting period,narrative,true
E1-9_26,"Potential future liabilities, based on existing contractual agreements, associated with carbon credits planned to be cancelled in near future",monetary,true
E1-9_27,Monetised gross Scope 1 and 2 GHG emissions,monetary,true
E1-9_28,Monetised total GHG emissions,monetary,true
E1-9_29,Net revenue from business activities at material transition risk,monetary,true
E1-9_30,Net revenue from customers operating in coal-related activities,monetary,false
E1-9_31,Net revenue from customers operating in oil-related activities,monetary,false
E1-9_32,Net revenue from customers operating in gas-related activities,monetary,false
E1-9_33,Percentage of net revenue from customers operating in coal-related activities,percent,false
E1-9_34,Percentage of net revenue from customers operating in oil-related activities,percent,false
E1-9_35,Percentage of net revenue from customers operating in gas-related activities,percent,false
E1-9_36,Percentage of net revenue from business activities at material transition risk,percent,true
E1-9_37,Disclosure of risk factors for net revenue from business activities at material transition risk,narrative,true
E1-9_38,Disclosure of anticipated financial effects in terms of margin erosion for business activities at material transition risk,narrative,true
E1-9_39,Disclosure of reconciliations with financial statements of significant amounts of assets and net revenue at material physical risk,narrative,true
E1-9_40,"Disclosure of reconciliations with financial statements of significant amounts of assets, liabilities and net revenue at material transition risk",narrative,true
E1-9_41,Expected cost savings from climate change mitigation actions,monetary,true
E1-9_42,Expected cost savings from climate change adaptation actions,monetary,true
E1-9_43,Potential market size of low-carbon products and services or adaptation solutions to which undertaking has or may have access,monetary,true
E1-9_44,Expected changes to net revenue from low-carbon products and services or adaptation solutions to which undertaking has or may have access,monetary,true
E1-GOV-3_01,"Disclosure of whether and how climate-related considerations are factored into remuneration of members of administrative, management and supervisory bodies",narrative,true
E1-GOV-3_02,Percentage of remuneration recognised that is linked to climate related considerations,percent,true
E1-GOV-3_03,"Explanation of climate-related considerations that are factored into remuneration of members of administrative, management and supervisory bodies",narrative,true
E1-IRO-1_01,Description of process in relation to impacts on climate change,narrative,true
E1-IRO-1_02,Description of process in relation to climate-related physical risks in own operations and along value chain,narrative,true
E1-IRO-1_03,"Climate-related hazards have been identified over short-, medium- and long-term time horizons",narrative,true
E1-IRO-1_04,Undertaking has screened whether assets and business activities may be exposed to climate-related hazards,narrative,true
E1-IRO-1_05,"Short-, medium- and long-term time horizons have been defined",narrative,true
E1-IRO-1_06,Extent to which assets and business activities may be exposed and are sensitive to identified climate-related hazards has been assessed,narrative,true
E1-IRO-1_07,Identification of climate-related hazards and assessment of exposure and sensitivity are informed by high emissions climate scenarios,narrative,true
E1-IRO-1_08,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of physical risks over short, medium and long-term",narrative,true
E1-IRO-1_09,Description of process in relation to climate-related transition risks and opportunities in own operations and along value chain,narrative,true
E1-IRO-1_10,"Transition events have been identified over short-, medium- and long-term time horizons",narrative,true
E1-IRO-1_11,Undertaking has screened whether assets and business activities may be exposed to transition events,narrative,true
E1-IRO-1_12,Extent to which assets and business activities may be exposed and are sensitive to identified transition events has been assessed,narrative,true
E1-IRO-1_13,Identification of transition events and assessment of exposure has been informed by climate-related scenario analysis,narrative,true
E1-IRO-1_14,Assets and business activities that are incompatible with or need significant efforts to be compatible with transition to climate-neutral economy have been identified,narrative,true
E1-IRO-1_15,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of transition risks and opportunities over short, medium and long-term",narrative,true
E1-IRO-1_16,Explanation of how climate scenarios used are compatible with critical climate-related assumptions made in financial statements,narrative,true
E1-MDR-A_01-12,Actions and Resources related to climate change mitigation and adaptation [see ESRS 2 MDR-A],narrative,true
E1-MDR-A_13-14,Disclosure to be reported if the undertaking has not adopted actions,narrative,true
E1-MDR-P_01-06,"Policies in place to manage its material impacts, risks and opportunities related to climate change mitigation and adaptation [see ESRS 2 MDR-P]",narrative,true
E1-MDR-P_07-08,Disclosures to be reported in case the undertaking has not adopted policies,narrative,true
E1-MDR-T_01-13,Tracking effectiveness of policies and actions through targets [see ESRS 2 MDR-T ],narrative,true
E1-MDR-T_14-19,Disclosure to be reported if the undertaking has not set any measurable outcome-oriented targets,narrative,true
E1-SBM-3_01,Type of climate-related risk,narrative,true
E1-SBM-3_02,Description of scope of resilience analysis,narrative,true
E1-SBM-3_03,Disclosure of how resilience analysis has been conducted,narrative,true
E1-SBM-3_04,Disclosure of how resilience analysis has been conducted,date,true
E1-SBM-3_05,Time horizons applied for resilience analysis,narrative,true
E1-SBM-3_06,Description of results of resilience analysis,narrative,true
E1-SBM-3_07,Description of ability to adjust or adapt strategy and business model to climate change,narrative,true
E2-1_01,"Disclosure of whether and how policy addresses mitigating negative impacts related to pollution of air, water and soil",narrative,true
E2-1_02,Disclosure of  whether and how policy addresses substituting and minimising use of substances of concern and phasing out substances of very high concern,narrative,true
E2-1_03,"Disclosure of  whether and how policy addresses avoiding incidents and emergency situations, and if and when they occur, controlling and limiting their impact on people and environment",narrative,true
E2-1_04,"Disclosure of contextual information on relations between policies implemented and how policies contribute to EU Action Plan Towards Zero Pollution for Air, Water and Soil",narrative,true
E2-2_01,Layer in mitigation hierarchy to which action can be allocated to (pollution),narrative,true
E2-2_02,Action related to pollution extends to upstream/downstream value chain engagements,narrative,true
E2-2_03,Layer in mitigation hierarchy to which resources can be allocated to (pollution),narrative,true
E2-2_04,Information about action plans that have been implemented at site-level (pollution),narrative,false
E2-3_01,Disclosure of  whether and  how target relates to prevention and control of air pollutants and respective specific loads,narrative,true
E2-3_02,Disclosure of  whether and how target relates to prevention and control of emissions to water and respective specific loads,narrative,true
E2-3_03,Disclosure of  whether and how target relates to prevention and control of pollution to soil and respective specific loads,narrative,true
E2-3_04,Disclosure of  whether and how target relates to prevention and control of  substances of concern and substances of very high concern,narrative,true
E2-3_05,Ecological thresholds and entity-specific allocations were taken into consideration when setting pollution-related target,narrative,true
E2-3_06,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (pollution),narrative,false
E2-3_07,Disclosure of how ecological entity-specific thresholds were determined (pollution),narrative,false
E2-3_08,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (pollution),narrative,false
E2-3_09,Pollution-related target is mandatory (required by legislation)/voluntary,narrative,true
E2-3_10,Pollution-related target addresses shortcomings related to Substantial Contribution criteria for Pollution Prevention and Control,narrative,true
E2-3_11,Information about targets that have been implemented at site-level (pollution),narrative,false
E2-4_01,"Pollution of air, water and soil [multiple dimensions: at site level or  by type of source, by sector or by geographical area",table,true
E2-4_02,Emissions to air by pollutant,table,true
E2-4_03,Emissions to water by pollutant  [+ by sectors/Geographical Area/Type of source/Site location],table,true
E2-4_04,Emissions to soil by pollutant  [+ by sectors/Geographical Area/Type of source/Site location],table,true
E2-4_05,Microplastics generated and used,narrative,false
E2-4_06,Microplastics generated,narrative,false
E2-4_07,Microplastics used,narrative,false
E2-4_08,"Description of changes over time (pollution of air, water and soil)",narrative,true
E2-4_09,"Description of measurement methodologies (pollution of air, water and soil)",narrative,true
E2-4_10,Description of process(es) to collect data for pollution-related accounting and reporting,narrative,true
E2-4_11,Percentage of total emissions of pollutants to water occurring in areas at water risk,percent,true
E2-4_12,Percentage of total emissions of pollutants to water occurring in areas of high-water stress,percent,true
E2-4_13,Percentage of total emissions of pollutants to soil occurring in areas at water risk,percent,true
